id,condition,sceneName,sceneNumber,task,block,trial,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,2,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,2,
TestB,default,use for vr,1,TASK_ViewpointTask,1,3,
TestB,default,use for vr,1,TASK_ViewpointTask,1,4,
TestB,default,use for vr,1,TASK_ViewpointTask,1,5,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,2,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,2,
TestB,default,use for vr,1,TASK_ViewpointTask,1,3,
TestB,default,use for vr,1,TASK_ViewpointTask,1,4,
TestB,default,use for vr,1,TASK_ViewpointTask,1,5,
TestB,default,use for vr,1,TASK_ViewpointTask,1,6,
TestB,default,use for vr,1,TASK_ViewpointTask,1,7,
TestB,default,use for vr,1,TASK_ViewpointTask,1,8,
TestB,default,use for vr,1,TASK_ViewpointTask,1,9,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,2,
TestB,default,use for vr,1,TASK_ViewpointTask,1,1,
TestB,default,use for vr,1,TASK_ViewpointTask,1,2,
TestB,default,use for vr,1,TASK_ViewpointTask,1,3,
TestB,default,use for vr,1,TASK_ViewpointTask,1,4,
TestB,default,use for vr,1,TASK_ViewpointTask,1,5,
TestB,default,use for vr,1,TASK_ViewpointTask,1,6,
TestB,default,use for vr,1,TASK_ViewpointTask,1,7,
TestB,default,use for vr,1,TASK_ViewpointTask,1,8,
TestB,default,use for vr,1,TASK_ViewpointTask,1,9,
TestB,default,use for vr,1,TASK_ViewpointTask,1,10,
TestB,default,use for vr,1,TASK_ViewpointTask,1,11,
TestB,default,use for vr,1,TASK_ViewpointTask,1,12,
TestB,default,use for vr,1,TASK_ViewpointTask,1,13,
